name,party,bill
"Enzi, Michael B.",R,115s1
"Cardin, Benjamin L.",D,115s10
"Wicker, Roger F.",R,115s10
"Alexander, Lamar",R,115s100
"Franken, Al",D,115s1000
"Murray, Patty",D,115s1000
"Brown, Sherrod",D,115s1000
"Warren, Elizabeth",D,115s1000
"Markey, Edward J.",D,115s1000
"Crapo, Mike",R,115s1001
"Blumenthal, Richard",D,115s1001
"Murphy, Christopher",D,115s1001
"Cassidy, Bill",R,115s1001
"Alexander, Lamar",R,115s1001
"Bennet, Michael F.",D,115s1001
"Moran, Jerry",R,115s1002
"Tester, Jon",D,115s1002
"Heitkamp, Heidi",D,115s1002
"Tillis, Thom",R,115s1002
"Manchin, Joe, III",D,115s1002
"Donnelly, Joe",D,115s1002
"Klobuchar, Amy",D,115s1002
"Scott, Tim",R,115s1002
"Daines, Steve",R,115s1002
"Perdue, David",R,115s1002
"Blunt, Roy",R,115s1002
"Inhofe, James M.",R,115s1002
"Grassley, Chuck",R,115s1002
"Rubio, Marco",R,115s1002
"Barrasso, John",R,115s1002
"Fischer, Deb",R,115s1002
"Enzi, Michael B.",R,115s1002
"Bennet, Michael F.",D,115s1002
"Heller, Dean",R,115s1002
"Ernst, Joni",R,115s1002
"Rounds, Mike",R,115s1002
"Heinrich, Martin",D,115s1002
"Kennedy, John",R,115s1002
"King, Angus S., Jr.",I,115s1002
"Flake, Jeff",R,115s1002
"Udall, Tom",D,115s1002
"Toomey, Pat",R,115s1002
"Capito, Shelley Moore",R,115s1002
"Shaheen, Jeanne",D,115s1002
"Portman, Rob",R,115s1002
"Hoeven, John",R,115s1002
"Risch, James E.",R,115s1002
"Lankford, James",R,115s1002
"Warner, Mark R.",D,115s1002
"Cotton, Tom",R,115s1002
"Kaine, Tim",D,115s1002
"Grassley, Chuck",R,115s1003
"Casey, Robert P., Jr.",D,115s1003
"Kaine, Tim",D,115s1004
"Portman, Rob",R,115s1004
"Baldwin, Tammy",D,115s1004
"Capito, Shelley Moore",R,115s1004
"Young, Todd C.",R,115s1004
"Hassan, Margaret Wood",D,115s1004
"Franken, Al",D,115s1004
"Stabenow, Debbie",D,115s1004
"Wyden, Ron",D,115s1005
"Merkley, Jeff",D,115s1006
"Baldwin, Tammy",D,115s1006
"Booker, Cory A.",D,115s1006
"Bennet, Michael F.",D,115s1006
"Blumenthal, Richard",D,115s1006
"Brown, Sherrod",D,115s1006
"Cantwell, Maria",D,115s1006
"Cardin, Benjamin L.",D,115s1006
"Carper, Thomas R.",D,115s1006
"Casey, Robert P., Jr.",D,115s1006
"Coons, Christopher A.",D,115s1006
"Cortez Masto, Catherine",D,115s1006
"Duckworth, Tammy",D,115s1006
"Durbin, Richard J.",D,115s1006
"Feinstein, Dianne",D,115s1006
"Franken, Al",D,115s1006
"Gillibrand, Kirsten E.",D,115s1006
"Harris, Kamala D.",D,115s1006
"Hassan, Margaret Wood",D,115s1006
"Heinrich, Martin",D,115s1006
"Heitkamp, Heidi",D,115s1006
"Hirono, Mazie K.",D,115s1006
"Kaine, Tim",D,115s1006
"King, Angus S., Jr.",I,115s1006
"Klobuchar, Amy",D,115s1006
"Leahy, Patrick J.",D,115s1006
"Markey, Edward J.",D,115s1006
"McCaskill, Claire",D,115s1006
"Menendez, Robert",D,115s1006
"Murphy, Christopher",D,115s1006
"Murray, Patty",D,115s1006
"Nelson, Bill",D,115s1006
"Peters, Gary C.",D,115s1006
"Reed, Jack",D,115s1006
"Sanders, Bernard",I,115s1006
"Schatz, Brian",D,115s1006
"Schumer, Charles E.",D,115s1006
"Shaheen, Jeanne",D,115s1006
"Stabenow, Debbie",D,115s1006
"Tester, Jon",D,115s1006
"Udall, Tom",D,115s1006
"Van Hollen, Chris",D,115s1006
"Warner, Mark R.",D,115s1006
"Warren, Elizabeth",D,115s1006
"Whitehouse, Sheldon",D,115s1006
"Wyden, Ron",D,115s1006
"Smith, Tina",D,115s1006
"Jones, Doug",D,115s1006
"Gardner, Cory",R,115s1007
"Hatch, Orrin G.",R,115s1007
"Heller, Dean",R,115s1007
"Sullivan, Dan",R,115s1007
"Daines, Steve",R,115s1007
"Gardner, Cory",R,115s1008
"Merkley, Jeff",D,115s1008
"Alexander, Lamar",R,115s1008
"Hatch, Orrin G.",R,115s1008
"Isakson, Johnny",R,115s1008
"Lee, Mike",R,115s1008
"Johnson, Ron",R,115s1008
"Baldwin, Tammy",D,115s1008
"Warner, Mark R.",D,115s1008
"Blunt, Roy",R,115s1008
"Graham, Lindsey",R,115s1008
"Wyden, Ron",D,115s1008
"Klobuchar, Amy",D,115s1008
"King, Angus S., Jr.",I,115s1009
"Franken, Al",D,115s1009
"Murkowski, Lisa",R,115s101
"Sullivan, Dan",R,115s101
"Grassley, Chuck",R,115s1010
"Feinstein, Dianne",D,115s1010
"Leahy, Patrick J.",D,115s1010
"Hatch, Orrin G.",R,115s1010
"Cornyn, John",R,115s1011
"Rubio, Marco",R,115s1011
"Portman, Rob",R,115s1011
"Warner, Mark R.",D,115s1011
"Blumenthal, Richard",D,115s1011
"Coons, Christopher A.",D,115s1011
"Udall, Tom",D,115s1012
"Heinrich, Martin",D,115s1012
"Capito, Shelley Moore",R,115s1013
"Coons, Christopher A.",D,115s1013
"Fischer, Deb",R,115s1014
"Booker, Cory A.",D,115s1014
"Nelson, Bill",D,115s1014
"Warren, Elizabeth",D,115s1014
"Rubio, Marco",R,115s1014
"Strange, Luther",R,115s1014
"Kennedy, John",R,115s1014
"Menendez, Robert",D,115s1014
"Cornyn, John",R,115s1014
"Brown, Sherrod",D,115s1014
"Murphy, Christopher",D,115s1014
"Hatch, Orrin G.",R,115s1015
"Donnelly, Joe",D,115s1015
"Sullivan, Dan",R,115s1015
"Udall, Tom",D,115s1015
"Heller, Dean",R,115s1015
"Baldwin, Tammy",D,115s1015
"Schatz, Brian",D,115s1015
"Shaheen, Jeanne",D,115s1015
"Schatz, Brian",D,115s1016
"Wicker, Roger F.",R,115s1016
"Cochran, Thad",R,115s1016
"Cardin, Benjamin L.",D,115s1016
"Thune, John",R,115s1016
"Warner, Mark R.",D,115s1016
"Capito, Shelley Moore",R,115s1016
"Kaine, Tim",D,115s1016
"Daines, Steve",R,115s1016
"Klobuchar, Amy",D,115s1016
"Graham, Lindsey",R,115s1016
"Bennet, Michael F.",D,115s1016
"Blunt, Roy",R,115s1016
"Shaheen, Jeanne",D,115s1016
"Rounds, Mike",R,115s1016
"Coons, Christopher A.",D,115s1016
"Strange, Luther",R,115s1016
"Nelson, Bill",D,115s1016
"Lankford, James",R,115s1016
"Heinrich, Martin",D,115s1016
"Murkowski, Lisa",R,115s1016
"Tester, Jon",D,115s1016
"Inhofe, James M.",R,115s1016
"King, Angus S., Jr.",I,115s1016
"Hyde-Smith, Cindy",R,115s1016
"McCaskill, Claire",D,115s1016
"Sullivan, Dan",R,115s1016
"Whitehouse, Sheldon",D,115s1016
"Hoeven, John",R,115s1017
"Heitkamp, Heidi",D,115s1017
"Cardin, Benjamin L.",D,115s1018
"Rubio, Marco",R,115s1018
"Durbin, Richard J.",D,115s1018
"Cornyn, John",R,115s1018
"Menendez, Robert",D,115s1018
"McCain, John",R,115s1018
"Nelson, Bill",D,115s1018
"Kaine, Tim",D,115s1018
"Van Hollen, Chris",D,115s1018
"Gardner, Cory",R,115s1018
"Leahy, Patrick J.",D,115s1018
"Coons, Christopher A.",D,115s1018
"Tillis, Thom",R,115s1018
"Peters, Gary C.",D,115s1018
"Baldwin, Tammy",D,115s1018
"Blumenthal, Richard",D,115s1019
"Cantwell, Maria",D,115s102
"Booker, Cory A.",D,115s102
"Thune, John",R,115s102
"Rubio, Marco",R,115s102
"Nelson, Bill",D,115s102
"Menendez, Robert",D,115s102
"Schumer, Charles E.",D,115s102
"Baldwin, Tammy",D,115s1020
"Reed, Jack",D,115s1020
"Kaine, Tim",D,115s1020
